 Time    DRAD001001  DRAD001002  WRAD001001  WRAD001002  NP001001    NP001002    Temp   relhum 
    0.169200E+06    0.956784E-07    0.223165E-05    0.179368E-06    0.513278E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.172800E+06    0.956704E-07    0.223164E-05    0.179363E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.176400E+06    0.956623E-07    0.223162E-05    0.179359E-06    0.513285E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.180000E+06    0.956542E-07    0.223160E-05    0.179356E-06    0.513288E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.183600E+06    0.956460E-07    0.223159E-05    0.179352E-06    0.513290E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.187200E+06    0.956380E-07    0.223158E-05    0.179348E-06    0.513292E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.190800E+06    0.956303E-07    0.223156E-05    0.179346E-06    0.513293E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.194400E+06    0.956466E-07    0.223157E-05    0.179355E-06    0.513282E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.198000E+06    0.957590E-07    0.223163E-05    0.179409E-06    0.513269E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.201600E+06    0.959171E-07    0.223170E-05    0.179479E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.205200E+06    0.960444E-07    0.223174E-05    0.179529E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.208800E+06    0.961313E-07    0.223175E-05    0.179562E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.212400E+06    0.961907E-07    0.223176E-05    0.179583E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.216000E+06    0.962341E-07    0.223178E-05    0.179599E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.219600E+06    0.962685E-07    0.223179E-05    0.179613E-06    0.513257E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.223200E+06    0.962979E-07    0.223180E-05    0.179624E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.226800E+06    0.963234E-07    0.223181E-05    0.179634E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.230400E+06    0.963445E-07    0.223180E-05    0.179643E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.234000E+06    0.963595E-07    0.223178E-05    0.179647E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.237600E+06    0.963641E-07    0.223175E-05    0.179648E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.241200E+06    0.963569E-07    0.223173E-05    0.179643E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.244800E+06    0.963452E-07    0.223173E-05    0.179638E-06    0.513263E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.248400E+06    0.963334E-07    0.223172E-05    0.179633E-06    0.513269E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.252000E+06    0.963213E-07    0.223170E-05    0.179629E-06    0.513273E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.255600E+06    0.963094E-07    0.223169E-05    0.179624E-06    0.513277E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.259200E+06    0.962975E-07    0.223167E-05    0.179619E-06    0.513280E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.262800E+06    0.962857E-07    0.223166E-05    0.179613E-06    0.513283E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.266400E+06    0.962737E-07    0.223164E-05    0.179609E-06    0.513285E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.270000E+06    0.962622E-07    0.223163E-05    0.179603E-06    0.513287E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.273600E+06    0.962507E-07    0.223162E-05    0.179598E-06    0.513288E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.277200E+06    0.962398E-07    0.223159E-05    0.179593E-06    0.513291E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.280800E+06    0.962529E-07    0.223160E-05    0.179600E-06    0.513280E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.284400E+06    0.963632E-07    0.223166E-05    0.179655E-06    0.513268E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.288000E+06    0.965183E-07    0.223172E-05    0.179724E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.291600E+06    0.966405E-07    0.223176E-05    0.179772E-06    0.513248E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
