 Time    DRAD001001  DRAD001002  WRAD001001  WRAD001002  NP001001    NP001002    Temp   relhum 
    0.630000E+06    0.980282E-07    0.223169E-05    0.180328E-06    0.513264E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.633600E+06    0.981746E-07    0.223175E-05    0.180394E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.637200E+06    0.982836E-07    0.223178E-05    0.180437E-06    0.513246E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.640800E+06    0.983511E-07    0.223179E-05    0.180462E-06    0.513247E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.644400E+06    0.983917E-07    0.223180E-05    0.180478E-06    0.513249E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.648000E+06    0.984176E-07    0.223181E-05    0.180486E-06    0.513251E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.651600E+06    0.984351E-07    0.223182E-05    0.180492E-06    0.513255E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.655200E+06    0.984473E-07    0.223182E-05    0.180497E-06    0.513258E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.658800E+06    0.984559E-07    0.223183E-05    0.180501E-06    0.513260E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.662400E+06    0.984613E-07    0.223182E-05    0.180503E-06    0.513259E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.666000E+06    0.984618E-07    0.223179E-05    0.180503E-06    0.513256E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.669600E+06    0.984539E-07    0.223177E-05    0.180498E-06    0.513253E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
    0.673200E+06    0.984348E-07    0.223176E-05    0.180489E-06    0.513254E-05    0.899815E+03    0.249219E+01    0.285150E+03    0.894062E+00
